ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,mh_gspphot,non_single_star
111.60077013796547,-55.08135595465938,1.9680073060651022,0.22836313,9.434300681210663,-3.020415905270122,19.25879,20.741697,18.032532,2.7091656,,,,,,0
111.61020458765465,-55.07231057651621,1.5243124340137262,0.07963961,-17.071090886723574,11.000326431206764,17.602365,18.54365,16.607409,1.9362411,3750.4578,603.1636,565.018,632.0563,-1.0228,0
111.60310502191916,-55.09096848984135,0.12604082424265184,0.18521264,1.618970039942095,0.7026631217558641,19.03209,19.449879,18.487654,0.96222496,,,,,,0
111.62567797248637,-55.07820812102555,0.3025937039425457,0.16786927,0.37147178938897474,4.367602382970821,18.784683,19.278662,18.136482,1.1421795,4756.271,1775.2216,1735.1182,1888.3969,-1.8577,0
111.63462248350925,-55.068242998757356,0.28908120405971005,0.23709115,-2.364645598202944,7.989177918678241,19.299278,20.260185,18.32567,1.934515,,,,,,0
111.63334584562564,-55.07468578538771,0.3883667078912503,0.11175065,-2.404466023946034,7.3878677818481835,18.17997,18.772697,17.496416,1.2762814,4493.848,1302.498,1256.3698,1371.287,-1.201,0
111.6672048199431,-55.1034662737463,0.7553681040054878,0.16467437,0.2482075288653146,1.9056664365394367,18.697008,19.666458,17.850271,1.8161869,3725.3103,681.394,632.3911,727.5438,-1.2297,0
288.67507704277534,-35.65303672527969,0.3688420730985917,0.41717732,-1.4172822324123318,-4.210676692170567,19.74971,20.204426,19.057505,1.1469212,,,,,,0
288.68491651016643,-35.65292687879665,0.13492026051048917,0.2669473,-2.299288152222805,-5.5212003382744985,19.290335,19.675041,18.733103,0.9419384,,,,,,0
288.6867622123955,-35.65079451717244,0.27545260251427295,0.09138472,-9.765626576603127,-5.956921086972814,17.310644,17.705688,16.747475,0.9582138,5258.46,1377.7477,1346.3345,1405.9937,-2.4515,0
288.6758249014781,-35.644548084478316,1.2017273189650235,0.14550939,-5.698767707333368,-17.672432481885423,18.252834,19.396725,17.20379,2.192934,3609.2,973.0467,884.2302,1074.9861,-0.5396,0
288.6776617574228,-35.65307572633375,0.2532018557192846,0.26254833,0.6451322255446239,-6.508173750042248,19.186872,19.432999,18.65562,0.7773781,,,,,,0
288.72488864060534,-35.676259806222575,0.6012200633466583,0.093242556,1.8219274090780981,-4.254551062193448,17.550629,18.07835,16.721586,1.3567638,4324.9854,1016.9127,958.478,1058.6086,-0.4758,0
258.8983691730956,-22.33304122426548,0.6804383911213082,0.413661,-5.33326355570272,-12.054089553050819,19.688168,20.589802,18.868996,1.7208061,,,,,,0
258.9071377719807,-22.337563194173388,0.2857437736161732,0.18265703,-2.900576423620771,-3.4895621607095544,18.545444,19.402008,17.656456,1.7455521,3884.2512,807.0074,742.7468,912.2538,-0.8508,0
258.8962399112867,-22.335161898240955,0.23330452947959707,0.020396868,0.9542229919224214,-4.5797553583523785,13.866818,15.164587,12.756969,2.4076176,4237.077,2079.7131,1898.3065,2230.275,-0.6587,0
258.9059795004557,-22.339997404225837,0.18724349709043003,0.07053573,-0.4615164207915253,-5.999578297775358,16.959082,17.5323,15.524578,2.0077229,,,,,,0
287.3909988713806,10.0214553332214,0.23658107940166637,0.20946358,-1.2055223430925417,-4.128648330903383,18.196795,20.85636,16.666113,4.1902466,4777.5703,477.0384,458.6343,489.0057,0.7416,0
287.39144145668195,10.025003567690531,0.0024306990097493356,0.12423885,-1.342013056196249,-8.771817210322956,17.131487,19.95464,15.649809,4.3048306,4574.4473,1436.3015,1318.7747,1545.0311,0.5107,0
287.38857633779963,10.02800911727898,0.9479309628463133,0.5973881,-1.396003413956591,-4.233059586990935,19.99331,21.05767,18.826258,2.231413,,,,,,0
287.3920472257306,10.029540247770955,0.5733104412777852,0.41143814,-3.2776104050502033,-6.984576008970385,19.449013,,,,,,,,,0
287.40906238689286,10.035910905177644,0.3802180338047349,0.18955976,-1.8957512119417332,-3.4597531316908294,18.605637,19.957184,17.484833,2.472351,3690.7273,709.0518,662.6039,832.8176,-1.2113,0
287.4118311733977,10.039384670383894,1.1861215300975987,0.3073913,-1.093110129557934,-3.6090758908323943,19.198557,20.659946,17.701548,2.9583988,,,,,,0
287.40167931720845,10.031627947747745,0.2864778444082071,0.16722919,-2.126148186448014,-4.816343389851192,18.465847,19.950596,17.294682,2.6559143,3698.0247,645.2477,611.3325,681.323,-1.1747,0
235.59066160682278,-50.1367444509275,2.411988564269303,0.725092,-10.811460739478086,-8.70102081066771,19.127056,19.671537,17.932812,1.7387257,,,,,,0
235.59450417386137,-50.12961545636708,0.4155228356550091,0.06936945,0.7588454478594308,-0.4022486332657329,16.560038,17.333042,15.624398,1.7086439,4681.424,1140.6083,1108.7524,1187.5326,-0.6766,0
235.602341801233,-50.12898010729263,0.3634896520282389,0.10647288,-3.786904076141077,-6.859024855639264,17.584322,18.319479,16.735895,1.5835838,4768.5537,864.4249,788.3836,1025.1519,-1.0612,0
235.605356014879,-50.126026417026466,0.395973546461831,0.2656952,-1.7227874557351908,-3.256983918110236,18.814734,19.610931,17.876892,1.7340393,3864.3518,742.2524,625.0169,859.9828,-1.5014,0
